round	time	inputs	outputs	response
470	0.50210166	313	9	Making the commitment, and sticking to it.
471	12.63704491	296	6	Know your interests and skills.
472	33.38289952	291	76	<div class='image'><a href='http://www.brainscience.org/content/images/a-brain-facts-img.jpg'><img src='http://www.brainscience.org/content/images/a-brain-facts-img.jpg' border='0' alt='brain' /></a></div>
473	0.69465947	294	10	Make sure you have a strong strategy in place.
474	4.22840428	293	10	Be honest about what your needs and desires are.
475	41.57717013	297	15	Yes, some are very good, some aren’t so good.
476	0.50086665	289	9	You need to ask for what you want.
477	6.52713418	306	17	You know you need them, and you're more likely to succeed with a plan.
478	0.57889271	297	9	I don't know which airline to take.
479	1.12254524	318	25	I have done that. I'll make a note of them and send them off to you as soon as we finish eating.
480	41.93896174	295	11	She is in charge of the group chats. Mum and
481	11.46398950	299	12	Ask your employer for information or contact the insurance providers directly.
482	0.77391267	298	11	It's important to be aware of how you approach the
483	39.97964168	293	16	I may be at the client's office or at the client's home working.
484	40.88582039	291	10	This is not a question.  Merry Christmas!
485	0.61669636	293	11	"I'll be home by 5 p.m."
486	0.25220799	296	4	We'll see<|endoftext|>
487	37.67130995	292	7	Know your worth. Be confident.
488	39.76573205	293	10	Talk to your child about any concerns you have.
489	7.41995835	293	13	Being able to negotiate for what you want and value in life.
490	37.26211882	302	6	Try calling on a weekend!
491	25.73807836	292	15	Not a fan — I’m from the same state as him.
492	2.71281743	292	2	Yes.
493	2.86254668	291	7	Are you in the human body?
494	40.82442975	299	3	Definitely.
495	3.99906683	302	4	Are you nervous?
496	41.48276329	305	7	Yes! Come at 9am.
497	16.04468489	293	15	Building a network, having a positive attitude, and staying professional and calm.
498	8.49566483	316	10	We have the ability to reason and process information.
499	0.61619544	301	12	Give a fair price, and let others do the talking.
500	40.78574681	296	4	What's up?
501	42.80023909	297	8	This is the time to be together.
502	7.31128049	290	19	I have a clear idea of what I want and a clear idea of what my opponent wants.
503	11.01257920	293	12	Be aware of when you are feeling pressured. If you feel
504	0.84954500	295	18	It has its place and is probably the best option for many (especially financially-minded).
505	3.33364439	297	12	Be aware and make sure to focus on the road ahead.
506	44.27170682	309	9	I heard that she's having financial difficulties.
507	5.27029252	326	13	You don't need to be with them to pay your bills.
508	1.75638795	292	6	Do you feel happier today?
509	2.77799129	294	8	How can I get over a breakup?
510	3.44898582	289	11	I got a new one but it's not for sale
511	2.64288497	288	18	Before 10 am. Get a clear mind, wake up without any noise or disturbance.
512	1.77256274	299	13	There are a few key things to consider before starting a business.
513	40.86429715	295	13	You could be the one in charge and the one saying yes.
514	2.05252385	295	14	You can only have as much fun as you're willing to have.
515	4.64144468	296	7	Her look is getting more mature.
516	13.03856039	307	5	Good problem to have.
517	0.34634900	305	5	You need to sleep!
518	42.35083890	293	3	Just relax.
519	41.52024722	296	11	I don't think that is a very good example.
520	0.34691048	290	4	Not at all.
521	42.96191144	302	5	I got to work.
522	11.37427020	290	11	I've been waiting for this for my whole life.
523	40.76345944	298	8	What would like to know more about?
524	42.52168608	292	10	Negotiating is a skill and requires practice.
525	11.52377558	310	10	Reminders and being prepared make negotiation go smoothly.
526	43.05015898	297	26	Christmas at Wall Street is an annual event that brings together hundreds of people from across the country to celebrate Christmas and the holiday spirit.
527	4.09282970	292	5	Be honest and open.
528	40.73326612	291	11	Learn the skills early on that are invaluable in life.
529	6.48570728	300	6	Have fun and take breaks.
530	2.45645618	296	5	Take time for yourself.
531	40.02138495	293	6	Yes, I am here.
532	13.14273810	304	7	A good dose of common sense.
533	3.22481680	292	5	Where are we meeting?
534	1.39516568	294	1	?
535	3.73058820	299	25	Go to http://www.yourbrain.com and use our quick RGS application to get started. (Thanks Daisy!)
536	1.27737761	294	3	tired :)
537	14.55654645	292	9	The Brain should be at work every day!
538	25.63544035	295	12	Research your options and determine the best rental situation for you.
539	18.00449347	289	13	Making the other party happy first, then negotiating your goals.
540	18.58901525	292	6	How hard do you jog?
541	32.84415030	289	7	Success depends on a strong network.
542	11.54348540	294	23	Negotiate carefully, make sure you are comfortable with the price, and consider getting two pairs of same shoes.
543	43.83600640	301	11	You’re going to have to really push.
544	4.55607152	293	5	Great! Why not?
545	1.31855536	295	5	Is that date free?
546	9.07610202	293	7	Try asking a question when negotiating.
547	10.96004438	292	15	Be direct, don't be afraid to be the first to speak up.
548	6.69373798	302	28	I love this. It's so different, and if this is what Dream Theater is going to do, then I'm here for it.
549	0.64335155	295	10	Please do not disturb me until I am finished.
550	19.53201509	296	13	Be patient, be assertive, and be prepared to compromise.
551	5.56093311	298	38	The beauty shop has no link. You can buy her products online by visiting [http://beauty.guru.jp/](http://beauty.guru.jp/).
552	14.96202922	295	8	Was it great or was it terrible?
553	0.69314766	292	11	A good night's sleep and proper nutrition are essential.
554	43.74948168	303	15	It’s more important to focus on building long-term relationships.
555	2.20776844	292	11	Keep a smile on your face and a positive outlook.
556	15.30094552	292	9	Learn about the organization and ask for direction.
557	45.39816165	315	13	This week we had to fill a position for the Analyst Program.
558	4.59545803	296	18	Make sure you know all the logistics of the event, and be ready to plan accordingly.
559	0.19121337	292	0	
560	1.51604581	295	13	Coffee, but only in small amounts at a time.
561	42.07604074	288	2	Hey there
562	0.58099604	303	11	"Hi! How could I help you, sir?"
563	1.98090291	295	7	I'm ok. Are you?
564	40.56825900	297	11	Yes, I saw the video. It was amazing.
565	0.73403645	292	15	Keep an open mind, keep your emotions in check, and be reasonable.
566	23.06512117	292	11	I wish I could fix you and make you well.
567	4.95485067	321	12	Please inform me about any change in your schedule. Thanks.
568	1.55112267	292	8	You are an expert in your field.
569	9.07397819	292	8	I can speak English, French and Spanish
570	6.79977131	306	14	Not knowing who you are waiting to see will definitely add anxiety to your
571	1.58478212	291	8	The answer will depend on the situation.
572	5.65559649	292	5	i went a few days
573	40.97911429	302	12	I heard the show was really great. Let me explain.
574	40.20010376	292	12	The Brain is the brain. I didn't watch Chelsea.
575	2.71952820	299	8	I can get you diamonds for cheap.
576	40.31991863	293	8	Good, and you?<br>
577	2.99579263	294	7	I've never been to Egypt.
578	0.58069658	297	12	Wear the white shirt. It is the safer bet.
579	28.98360443	296	11	Pick someone to meet you and get a ride together.
580	42.73370695	305	10	I sent you the attachment through a text message.
581	3.84325957	306	3	Great ideas!
582	41.83956575	289	2	Hey.
583	0.62375808	304	12	Be confident, be vocal, be direct, be you!
584	0.61470628	299	10	Understand that your emotions will get in the way
585	41.85773802	298	13	I know little about it—I’m a developer.
586	16.41116166	298	9	I am not qualified to make a speech.
587	40.72803164	296	23	Do your homework to be prepared. Know what you want from the venture. Know how the venture will benefit you.
588	44.76061797	324	5	I'm currently working.
589	26.22490644	289	5	Keep your options open.
590	6.38194370	297	18	Solstafir is a site where users can post questions for the community to answer.
591	44.85153675	318	5	"Just show up."
592	9.29498911	290	10	Building a strong case by getting the facts right.
593	0.53783655	294	10	Be willing to compromise and stick to your guns.
594	44.31332803	303	5	We can do this!!
595	4.62220335	294	6	Be aware of your feelings.
596	44.06857920	293	2	Yes.
597	43.28683877	293	19	He is a great teacher that helps you learn how to overcome bad luck and create good fortune.
598	43.61665773	301	11	Find out what she or he is most interested in.
599	1.48904610	291	7	Congratulations! What does it mean?
600	9.00082517	299	11	How do you know if you are good at something?
601	42.97048950	291	16	Be honest in your communication and don't over-emphasize your needs.
602	10.47867441	293	17	Making sure to show empathy, having a strong offer, and keeping a level head.
603	46.57078147	297	5	Do not take action.
604	1.60093260	291	8	You’re a great presenter.
605	0.48326087	296	7	Have everything finished ahead of time.
606	0.59496927	293	9	Well, I think they're pretty good.
607	45.93431759	302	16	You don't need to be a part of every conversation, but be available.
608	3.10048652	294	32	I see. Okay, I'll just have to watch the movie from the time the credits start to the last part of the movie when the credits are over."
609	15.26203656	293	8	What would make this a great date?
610	0.34596181	289	4	Get enough sleep.
611	43.03631878	295	31	Try to avoid telling what you are thinking, you may not get it right or your opponents may think that you have an ulterior motive for your actions.
612	4.23792505	295	7	Let's chat about your need.
613	39.74688601	290	24	What's the difference between a negotiation and a discussion? It's the difference between a candy store and a grocery store.
614	7.39806962	295	4	I'm here :)
615	7.78733659	290	9	How did the brain develop in the past?
616	39.94668579	295	17	I’m not sure if that’s a valid thing to do.
617	4.02742863	288	1	yo
618	2.40839124	301	58	Hi, I can't believe you asked! I'm so glad you're still thinking of me. I'll send you a card as a surprise. I would appreciate a small gift and some money for coffee. You know I can't live without it.. I'll be thinking of you.
619	0.95171595	296	21	Let others know your exact arrival time, and provide extra time in case you’re running late.
620	40.94369411	295	17	I was born and raised in the U.S. I live in Hong Kong.
621	4.29259586	306	8	I received a gift in the mail.
622	9.83635616	296	20	Prepare a list of things you want him to do or say. Then, use visual aids.
623	40.54377818	298	9	Sure. What do you want to know?
624	41.31044841	296	8	Yes, things have been quite good.
625	44.74662066	295	7	What do you need help on?
626	16.18511748	293	6	Networking and building a strong
627	2.03372669	297	4	I feel great.
628	3.46150303	290	15	A good relationship with the other party helps to reduce stress and prevent arguments.
629	1.81973433	317	12	Your best wishes are with us and we love you all.
630	1.54507947	291	36	We're always adding new content. Learn more at http://www.brainyquote.com/quotes/quotes/s/susan139045.html
631	0.69297624	295	14	Thank you for asking. It's nice to see you soon. :)
632	0.61564898	297	14	Use the sandwich as a way to connect with your future boss.<|endoftext|>
633	13.91916585	292	18	Negotiation is a skill that can be improved, and should not be approached recklessly.
634	39.68737769	291	5	I'm at home!
635	1.47283959	295	8	I'm OK. How are you?
636	39.43597674	288	8	What can we help you with today?
637	8.28217936	294	14	I got a nice TV and a gift card for a new TV.
638	2.62070799	297	14	"Sorry! I'm not the mechanic, call a plumber."
639	41.02866054	296	21	The last time, I don't think I have my wallet on me, but I swear I do.
640	0.29143214	296	4	Tell me more.
641	16.53513241	303	6	"Sure, no problem.
642	40.82091141	296	8	How long I have to work tonight?
643	40.32419729	295	11	Take the initiative to show interest and make him a priority
644	8.65407968	287	2	Hi!
645	0.96542835	299	13	Why do you think that Bon Jovi are coming to Poland?
646	48.03362966	326	66	The best part is to negotiate and come to an agreement, and it is fun because it is not a battle of will power, but a matter of finding a balance between what everyone can afford to pay. So, if you did not have any of the food from the BBQ, please remove yourself and I will split everything evenly.
647	0.22989202	297	0	
648	2.07855630	296	8	I'm not very interested right now.
649	42.27487040	296	13	There are a lot of great apps to help you manage it.
650	0.71849871	296	15	Have a strong understanding of the other person's situation, and be careful.
651	0.42867446	299	7	Leave a message with your boss.
652	3.86181498	293	15	Yes. It's me. I hope you're enjoying a nice day?
653	41.98071003	293	6	Making clear, concise requests.
654	0.65526128	289	13	You don't have to negotiate if you don't want to.
655	49.19999123	341	15	Followed all the correct procedures, including registration, ticket purchase and travel arrangements
656	42.64672160	297	11	It's important to be flexible when negotiating a flight.
657	2.67803359	291	4	come to the practice
658	0.42396092	303	7	How to make her feel special.
659	40.79269075	288	9	Always be gracious if someone cuts you off.
660	6.45187068	296	10	Try to relax and learn to control your emotions.
661	45.22920799	307	6	Ask for what you want.
662	43.05810046	297	45	"Saying "I'm sorry" will always help, not always fix the situation, but it is the best action to take," and "Learn to let things go, but not at the expense of your own sanity."
663	1.15160537	297	22	I saw the second season of America's got talent. I was disappointed. They did not get it right.
664	1.51522684	303	15	You'll need to discuss the issue with your landlord and/or bank.
665	4.16372085	293	11	Not this year, I'm out tomorrow on vacation.
666	0.65946293	302	12	She might have called you and gone straight to voice mail.
667	41.49746656	290	13	Thanks for taking the time to call. How can I help?
668	4.26933336	296	14	I'm fine, thanks for asking, I had a nice vacation.
669	9.92191362	301	9	Not necessary – why wait for something exciting?
670	15.36861372	292	4	I make clothes.
671	1.55827808	292	4	Avoid making assumptions.
672	13.77141714	298	10	To see how fast you can get through them.
673	17.19788194	310	6	You will get the job.
674	40.97097898	299	20	Negotiation is a great way to keep your costs down and get the most out of your purchase.
675	5.38909650	296	9	who's going to the lecture tomorrow morning?
676	10.24924874	296	11	Try drinking a glass of water to relieve your pains.
677	13.70730495	288	8	Let me show you some different styles.
678	40.77487779	290	4	In the heart.
679	8.44655490	313	11	We need more people to be onboard and understand insurance.
680	22.78117990	302	8	Acknowledge the dog's needs.
681	1.66236663	298	8	Keeping your cool in a tense situation.
682	42.46244407	295	4	Why not talk?
683	27.52980113	296	5	I need more time.
684	24.54283071	291	12	Do not be intimidated when having a conversation with a superior.
685	0.54861808	299	8	Find inspiration that resonates with you.
686	44.75162601	290	19	Make sure you have all the ingredients you need. Also, make sure you have enough sauce.
687	6.87111187	299	10	Why not add "walk" to it then?
688	14.62426853	289	6	I'm glad you asked!
689	39.50107455	291	3	It depends.
690	5.54999757	295	12	What the heck? Stop the wall and let me in?
691	2.43556070	292	17	Practice these skills in advance and be confident that you have the skills to succeed.
692	5.08549666	296	6	Are you interested in this?
693	0.38309693	298	8	Hopefully, in the New Year.<|endoftext|>
694	41.89361954	304	4	I'll go.
695	44.71470189	315	12	That is great. I am so excited to hear that.
696	22.56086636	292	8	Negotiating is important in life.
697	4.58099937	289	10	Know what you want and are willing to negotiate.
698	42.42882252	299	20	If you are selling your flat, it is important to do your research and set a realistic price.
699	44.54618287	296	16	You should check the function that they want and make sure the company offers training.
700	1.04616284	292	7	I am doing well -- you?
701	10.45546937	294	12	I understand that your friend is not happy with this song.
702	40.89165187	293	21	Claire is looking for a long-term relationship; you are looking for a way to get together.
703	23.91529393	290	9	How can I increase my influence with employers?
704	43.04127693	296	3	Be prepared.
705	17.89850402	304	0	
706	2.01479578	295	14	Do not eat too much because this will cause you to gain weights.
707	41.48349833	293	15	The most important step is to plan. Start with a timeline and budget.
708	0.26872301	293	2	Yellow.
709	40.11693907	292	8	In Seattle, Washington, United States.
710	11.97678661	294	8	The best way to describe my son?
711	39.83899951	293	0	
712	14.08191967	291	8	This question is a little too broad.
713	14.95486498	293	6	What are we working on?
714	0.42493105	294	7	You get what you put in.
715	41.42652583	295	20	I gave her a piece of technology that we both already owned and that is extremely valuable to her.
716	0.54904246	310	10	I'm so glad to hear you enjoyed it.
717	27.68470883	292	65	I would say that the first thing you can do is to think about the other person and how she or he may react to your behavior. If you're having a difficult time, perhaps take a moment to step back and analyze the situation. It is easy to lose sight of this approach when you want to get somewhere fast."
718	0.94058347	348	20	Turtwig is great. And so are those delicious turtle cookies available in the Pokedex.
719	36.41205716	298	15	I'm having lots of fun! :) Baby is fine, I think.
720	8.48518825	296	6	Hey Mum, good question.
721	0.61864710	303	11	Yes, I think they'll be good for you!
722	38.76370525	292	11	Be prepared and listen to both sides of the issue.
723	42.17785096	294	12	If it’s a special occasion, you should.
724	3.45104122	295	12	Communicate your needs and goals and find the right solution.
725	21.27565527	300	6	I have a free USB.
726	17.19734287	296	16	If you are interested in making a purchase, make sure you don’t
727	1.12200713	298	12	I know a lot of people who are really into it.
728	3.76095676	292	7	I'm fine, and you?
729	42.91725159	299	10	No thanks. I do not want any more.
730	3.40920615	290	9	Be friendly, open, and assertive.
731	40.28518844	297	16	"Human" is not a name you would usually use to describe a person.
732	8.76717472	296	13	No Lawrence, but we are in the middle of a conversation.
733	0.30842471	292	3	Just OK.
734	3.97067308	296	10	I have a few questions about your recent purchase.
735	0.30770493	299	3	Be prepared.
736	10.18348455	296	13	First, figure out what you really need and what you want.
737	0.50063372	291	9	When in doubt, assume you are right.
738	14.04044771	289	17	Make a list of what you desire to achieve, and how you will achieve it.
739	0.69368768	301	10	Get plenty of rest and drink plenty of water.
740	43.13149142	295	5	Do you have kids?
741	21.90899515	292	18	Networking, understanding peopleâ€™s motivation, and being well-prepared.
742	44.88561225	293	18	Your new partner is important to you, so you will spend a lot of time together.
743	31.29456258	299	8	hey mom... how's it going?
744	3.77718067	293	15	Make sure to have all of the information you need before leaving the house.
745	1.66418791	306	15	You are not required to entertain people who are only after a quick thrill.
746	23.28594136	292	6	Being calm and listening carefully.
747	13.69615626	292	17	Negotiation can be a tough process, but it can also be an exciting one.
748	43.59160042	300	15	You can reschedule on your own, and make the appropriate adjustments.
749	0.40326452	292	6	Going to dinner with friends.
750	0.48497295	296	9	I know what annoys me the most!
751	43.13572860	296	16	If you are looking for statistical reports, you will have to ask your instructor.
752	0.28776026	298	3	Just saying...
753	43.62203908	300	6	sure, but i have classes
754	0.28703403	291	3	Find shelter.
755	1.62722373	303	16	I found three new ways to help you and a link to an online video.
756	22.82881379	300	12	Be well prepared with facts and figures to support your position.
757	8.32413769	294	9	Don't be the first one to leave.
758	1.81303072	294	4	I should begin!
759	0.42230034	295	7	I'm preparing for a party.
760	0.09710288	296	1	<|endoftext|>
761	43.71079803	309	15	It depends on who you have to negotiate with and what the deal is.
762	10.05299306	297	5	Practice makes perfect.
763	0.87143731	296	10	I don't have time for today's events.
764	2.78481531	294	7	I'm not really too sure.
765	2.28101993	317	6	You are being scammed.
766	0.76991463	295	9	Take your time. Listen to your instinct.
767	0.30644631	300	4	Know your worth.
768	31.99548030	291	9	Hey, Laurel. How are you today?
769	0.34639549	290	4	Make an effort.
770	43.37446880	299	12	I suggest that both of you try to enjoy this time.
771	39.91045380	292	40	Think about the advantages and disadvantages of the situation in front of you and understand the emotions being expressed by each person. By listening to each person's needs, you can come to a mutually acceptable conclusion.
772	9.44483590	294	65	The human brain has three parts: the limbic system, which controls our emotions; the cerebellum, which controls movement; and the cortex, which controls thought, planning, and higher reasoning. These parts don't work together very well, so they are not easily communicated with as they have their own language and logic.
773	40.57612801	302	15	What’s the weather forecast like for the rest of the weekend?
774	4.36646700	291	2	Your brain
775	3.70070457	292	33	In order to keep your brain healthy and functioning at its best it is advised to consume as many vegetables, whole grains, fruits, and legumes as you can.
776	20.53257084	292	4	Brain and intelligence.
777	41.53920245	300	7	You can't buy off me.
778	41.27933645	290	15	What can I do to improve my ability to stay focused and pay attention?
779	0.58105779	297	13	I was there last year and it was a great experience.<|endoftext|>
780	3.15163255	292	19	Negotiate from a position of strength by knowing your financial situation and having a game plan.
781	42.46069384	292	2	Yes.
782	0.45284343	295	5	Accept and embrace it.
783	41.00885653	292	12	Look beyond the current situation, look for a better solution.
784	0.56469774	312	11	I can meet on the 4th or 11th.
785	40.22891474	291	8	Hi! Tell me something about yourself.
786	22.78870177	292	14	Building friendships is important. You may also need to change your lifestyle.
787	12.83130765	342	9	Make sure you have accurate expenses before posting.
788	2.02177691	290	7	Be on time, plan ahead.
789	41.91051912	292	10	I can help you to negotiate a better deal.
790	19.33943939	291	9	Be confident, be prepared, be friendly.
791	42.45648026	295	15	Work with her and not against her, and you'll make it work.
792	1.73535156	297	3	Have fun.
793	40.49384952	295	13	I like him, but we don't have anything in common.
794	0.42418027	313	7	Go ahead and enjoy the dream.
795	42.97335076	296	21	If you’re sensitive to gluten and they have celiac disease, your symptoms may be similar.
796	26.09710646	292	2	No.
797	0.61461139	300	12	Yes, we did.  Now let's hear yours.
798	3.81619239	290	5	It will get there.
799	0.98242903	296	7	What’s your question?
800	0.57620430	308	7	Research in the online flower marketplace.
801	3.55636215	291	11	Keep your calendar, deadlines, and deadlines in mind.
802	6.89654684	296	8	There is usually someone to greet you.
803	41.50265765	297	56	This site is supported by advertising. If you click on a third-party ad, we may earn an affiliate commission. It won’t change what you see - we just know that we’re passing on savings to make it easier for you to find helpful information.
804	32.64987803	293	20	Practice patience. You’ll feel better when you have things you love and look good.
805	5.53282547	298	16	We need to leave by six. It will be quicker to take a taxi.
806	40.99283123	291	9	A friend wants to know where you are.
807	12.24335194	297	8	That's right Human, good morning.
808	5.54147267	293	13	Don't be afraid to negotiate with those who are more attractive.
809	5.48938298	299	7	There is no easy way out.
810	41.67389560	303	13	Negotiating and planning for the best outcome for your customer.
811	0.88546038	300	19	The first thing to do is to know what the legal position is and negotiate at this point.
812	3.49313617	296	17	You're not the only one in the world who's going through a tough time.
813	3.66958189	321	14	Don't let someone cut in front of you or cut in line.
814	3.81229758	298	7	Yes. It was on TV.
815	1.38384771	300	31	I suggest that you plan a balanced diet with lots of fruit and vegetables, as well as whole grains. I also recommend that you drink plenty of water.
816	40.93069530	292	12	Knowing your purpose, knowing your value, and having confidence.
817	5.84769392	306	17	I did not see any protests, but people were divided on this issue on Twitter.
818	3.91681051	292	16	Negotiating is a skill that can be practiced with any type of contact.
